LeadAuthor,Year
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Giglia,2011
Gilis,2009
Gilis,2009
Gilis,2009
Gilis,2008
Gilis,2008
Girvan,2015
Goddard,2014
Goddard,2014
Goodman-Delahunty,2010
Goodman-Delahunty,2010
Gorman,2015
Gorman,2015
Goumas,2013
Goumas,2013
Graafland,2014
Graafland,2014
Graafland,2014
Gredin,2018
Groves,2003
Groves,2003
Groves,2003
Gueldenpenning,2015
Gueldenpenning,2015
Gueldenpenning,2015
Gueldenpenning,2015
Gugerty,2004
Gugerty,2004
Guizani,2006
Guizani,2006
Guizani,2006
Guizani,2006
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haas,1988
Haerem,2007
Haerem,2007
Hagen,2016
Hagen,2016
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hallin,2009
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hand,2014
Hansen,2011
Hansen,2011
Harel,2011
Harel,2011
Harel,2011
Harries,2014
Hedrick,2008
Heller,1992
Heller,1992
Heller,1992
Heller,1992
Helm,2016
Helm,2016
Helm,2016
Helmes,2003
Helmes,2003
Helmes,2003
Helmes,2003
Helmes,2003
Helmes,2003
Henry,2013
Henry,2013
Hershberger,1996
Hershberger,1996
Hershberger,1994
Hershberger,1994
Hershberger,1994
Hertwig,2013
Hertwig,2013
Ho,1994
Houlston,1993
Houlston,1993
Houlston,1993
Houlston,1993
Houlston,1993
Hoyer,2003
Hoyer,2003
Hoyer,2003
Hoyer,2003
Hruska,2016
Hruska,2016
Hsu,2008
Hsu,2008
Hutchison,2012
Hutchison,2012
Jaarsma,2014
Jackson,2007
Jackson,2007
Jackson,2007
Jackson,1988
Jackson,1988
Jackson,1988
Jackson,1988
Jalali,2019
Jalali,2019
Johnson,2018
Johnson,2018
Johnson,1991
Johnson,1991
Jullien,1996
Jullien,1996
Jullien,1996
Jung,2012
Kanter,2010
Kaplan,1999
Karver,2010
Kassin,2005
Kassin,2005
Kassin,2005
Kassin,2005
Kassin,2005
Kassin,2005
Kauffman,1989
Keijsers,2014
Keijsers,2014
Keijsers,2014
Kelemen,2013
Kelemen,2013
Kelemen,2013
Kelemen,2013
Keller,2018
Kemp,1996
Kemp,1996
Kemp,1996
Kemp,1996
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kida,2005
Kilner,2002
Kilner,2002
Kilner,2002
Kilner,2005
Kilner,2005
Kilner,2005
Kilner,2005
Kilner,2005
Kilner,2005
Kirschenbaum,1992
Kirschenbaum,1992
Kirschenbaum,1992
Kirschenbaum,1992
Kirschenbaum,1992
Kirschenbaum,1992
Kirschenbaum,1992
Kirschenbaum,1992
Klein,1989
Klein,1989
Klein,1989
Klein,1989
Knesper,1986
Knesper,1986
Knesper,1986
Knesper,1986
Knesper,1986
Knoll,2017
Knoll,2017
Knoll,2017
Knoll,2017
Koehler,2009
Kostopoulou,2012
Kostopoulou,2012
Kostopoulou,2012
Kovera,2000
Kovera,2000
Krampe,1996
Krampe,1996
Krampe,1996
Krampe,1996
Krampe,1996
Krampe,1996
Krampe,1996
Kulatunga-Moruzi,2004
Kulatunga-Moruzi,2004
Kulatunga-Moruzi,2004
Kulatunga-Moruzi,2004
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Kunina-Habenicht,2015
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Larson,2017
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
Leach,2004
LeBlanc,2002
LeBlanc,2002
LeBlanc,2002
Lee,2010
Lee,2010
Lee,2010
Lee,2010
Lee,2010
Leff,2017
Leff,2017
Leff,2017
Leong,2007
Leong,2007
Leong,2007
Liden,2019
Liden,2019
Liden,2019
Lieberman,2004
Lievens,2001
Lim,2006
Lim,2006
Lima,2011
Lima,2011
Lima,2011
Lindenberger,1992
Lindenberger,1992
Lindenberger,1992
Lindenberger,1992
Lindenberger,1992
Lindenberger,1992
Lindenberger,1992
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lindholm,2008
Lipner,2010
Lipner,2010
Lipner,2010
Lipner,2010
Litchfield,2016
Litchfield,2016
Litchfield,2016
Litchfield,2016
Litchfield,2016
Litchfield,2016
Litchfield,2016
Litchfield,2010
Litchfield,2010
Litchfield,2010
Litchfield,2010
Lockie,2014
Lockie,2014
Lockie,2014
Lockie,2014
Lockie,2014
Loft,2009
Loft,2009
Loft,2009
Loft,2009
Luis del Campo,2018
Lukens,2013
Lukens,2013
Lukens,2013
Lukens,2013
Lutfi,2011
Lutfi,2011
Lyons,2012
Lyons,2012
Lyons,2012
Maki,2018
Maki,2018
Mallett,2014
Mallett,2014
Mallett,2014
Mallett,2014
Mallett,2014
Mallett,2014
Mamede,2010
Mann,2004
Mann,2004
Mann,2004
Mann,2004
Marceau,2011
Marceau,2011
Martire,2018
Masip,2016
Masip,2016
Masip,2016
Masip,2016
Masip,2016
Masip,2016
Masip,2016
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massaro,2013
Massel,2003
McBee,2017
McBee,2017
McDermott,1980
McKenna,2006
McKenzie,2008
McKenzie,2008
McKenzie,2008
McKenzie,2008
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Meissner,2002
Mello-Thoms,2012
Mello-Thoms,2012
Mello-Thoms,2012
Mendel,2011
Mendel,2011
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Menkhoff,2010
Mercado,2006
Mercado,2006
Mercado,2006
Mercado,2006
Miller,2019
Miller,2019
Miller,2019
Miller,2019
Mirarchi,2012
Mirarchi,2012
Mirarchi,2012
Mirarchi,2012
Mirarchi,2012
Mirarchi,2012
Modi,2018
Modi,2018
Modi,2018
Modi,2018
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1994
Morrow,1992
Morrow,1992
Morrow,1992
Morrow,1992
Morrow,1992
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2003
Morrow,2001
Morrow,2001
Morrow,2001
Morrow,2001
Morrow,2001
Mortenson,2008
Moulin,2018
Moulin,2018
Moulin,2018
Moulin,2018
Moulin,2018
Moulin,2018
Moulin,2018
Mouly,2007
Mowen,1986
Müller,2015
Müller,2015
Müller,2015
Müller,2015
Müller,2015
Müller,2015
Müller,2015
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Murphy,2016
Musculus,2007
Musculus,2007
Musculus,2007
Musculus,2007
Musculus,2007
Musculus,2007
Needham-Penrose,2012
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Nendaz,2006
Ngune,2015
Ngune,2015
Nodine,2002
Nodine,2002
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nunes,2009
Nysse-Carris,2011
Nysse-Carris,2011
Nysse-Carris,2011
